Date;Time (Local);Eyeballs;Zeroes;Completed Trips;Requests;Unique Drivers
10-Sep-12;10-Sep-2012 7:00:00;5;0;2;2;9
10-Sep-12;10-Sep-2012 8:00:00;6;0;2;2;14
10-Sep-12;10-Sep-2012 9:00:00;8;3;0;0;14
10-Sep-12;10-Sep-2012 10:00:00;9;2;0;1;14
10-Sep-12;10-Sep-2012 11:00:00;11;1;4;4;11
10-Sep-12;10-Sep-2012 12:00:00;12;0;2;2;11
10-Sep-12;10-Sep-2012 13:00:00;9;1;0;0;9
10-Sep-12;10-Sep-2012 14:00:00;12;1;0;0;9
10-Sep-12;10-Sep-2012 15:00:00;11;2;1;2;7
10-Sep-12;10-Sep-2012 16:00:00;11;2;3;4;6
10-Sep-12;10-Sep-2012 17:00:00;12;2;3;4;4
10-Sep-12;10-Sep-2012 18:00:00;11;1;3;4;7
10-Sep-12;10-Sep-2012 19:00:00;13;2;2;3;7
10-Sep-12;10-Sep-2012 20:00:00;11;1;0;0;5
10-Sep-12;10-Sep-2012 21:00:00;11;0;1;1;3
10-Sep-12;10-Sep-2012 22:00:00;16;3;0;2;4
10-Sep-12;10-Sep-2012 23:00:00;21;5;3;3;4
11-Sep-12;11-Sep-2012 0:00:00;9;3;1;1;3
11-Sep-12;11-Sep-2012 1:00:00;3;2;0;1;3
11-Sep-12;11-Sep-2012 2:00:00;1;1;0;0;1
11-Sep-12;11-Sep-2012 3:00:00;1;1;0;0;1
11-Sep-12;11-Sep-2012 4:00:00;1;1;0;0;1
11-Sep-12;11-Sep-2012 5:00:00;1;1;0;0;0
11-Sep-12;11-Sep-2012 6:00:00;7;3;2;3;3
11-Sep-12;11-Sep-2012 7:00:00;10;0;2;2;5
11-Sep-12;11-Sep-2012 8:00:00;11;2;0;0;6
11-Sep-12;11-Sep-2012 9:00:00;15;2;0;0;6
11-Sep-12;11-Sep-2012 10:00:00;12;1;1;1;8
11-Sep-12;11-Sep-2012 11:00:00;16;1;0;0;9
11-Sep-12;11-Sep-2012 12:00:00;5;1;0;0;8
11-Sep-12;11-Sep-2012 13:00:00;11;2;1;1;7
11-Sep-12;11-Sep-2012 14:00:00;19;1;1;2;5
11-Sep-12;11-Sep-2012 15:00:00;19;1;2;2;9
11-Sep-12;11-Sep-2012 16:00:00;19;3;1;1;7
11-Sep-12;11-Sep-2012 17:00:00;23;5;0;0;9
11-Sep-12;11-Sep-2012 18:00:00;21;1;7;8;11
11-Sep-12;11-Sep-2012 19:00:00;28;2;8;9;12
11-Sep-12;11-Sep-2012 20:00:00;22;2;7;7;10
